Statement	Count	# unique files
train_df.head()	1201	245
train.head()	1029	442
test.head()	420	257
train.info()	349	254
dataset['Title'] = dataset['Title'].replace('Mme', 'Mrs')	277	276
dataset['Title'] = dataset['Title'].map(title_mapping)	274	272
dataset['Title'] = dataset['Title'].replace('Ms', 'Miss')	272	271
dataset['Title'] = dataset['Title'].replace('Mlle', 'Miss')	271	270
"test_df[""PassengerId""],"	266	238
dataset['Age'] = dataset['Age'].astype(int)	263	253
train['Survived']	262	237
dataset['Fare'] = dataset['Fare'].astype(int)	262	256
test_df.info()	259	237
dataset['Title'] = dataset['Title'].fillna(0)	254	254
df.head()	249	97
dataset['FamilySize'] = dataset['SibSp'] + dataset['Parch'] + 1	244	243
dataset.loc[(dataset['Age'] > 32) & (dataset['Age'] <= 48), 'Age'] = 2	232	232
dataset.loc[(dataset['Fare'] > 7.91) & (dataset['Fare'] <= 14.454), 'Fare'] = 1	232	231
dataset['IsAlone'] = 0	231	231
dataset.loc[(dataset['Age'] > 48) & (dataset['Age'] <= 64), 'Age'] = 3	231	231
dataset.loc[(dataset['Age'] > 16) & (dataset['Age'] <= 32), 'Age'] = 1	229	229
dataset.loc[(dataset['Fare'] > 14.454) & (dataset['Fare'] <= 31), 'Fare']   = 2	228	228
train_df.info()	226	191
dataset['Embarked'] = dataset['Embarked'].map( {'S': 0, 'C': 1, 'Q': 2} ).astype(int)	224	224
dataset.loc[dataset['FamilySize'] == 1, 'IsAlone'] = 1	222	222
test_df.head()	222	185
feature_dataframe['features'].values	206	43
data.head()	205	111
test.info()	202	138
train.describe()	193	178
submission.to_csv('submission.csv', index=False)	189	185
df_train.head()	185	85
models.sort_values(by='Score', ascending=False)	174	170
feature_dataframe['features'].values,	165	43
train_df.describe()	165	159
dataset['Title'] = dataset.Name.str.extract(' ([A-Za-z]+)\.', expand=False)	162	162
"train_df[""Survived""]"	158	156
X_train.shape, Y_train.shape, X_test.shape	156	153
guess_df.median()	154	142
test['PassengerId']	153	152
dataset.loc[ dataset['Fare'] <= 7.91, 'Fare'] = 0	148	148
train_data.head()	147	70
train_df.head(10)	146	129
dataset.loc[ dataset['Fare'] > 31, 'Fare'] = 3	144	144
titanic_df.head()	142	102
dataset['Sex'] = dataset['Sex'].map( {'female': 1, 'male': 0} ).astype(int)	141	140
dataset.loc[ dataset['Age'] <= 16, 'Age'] = 0	139	139
"test[""PassengerId""],"	139	103
dataset['Embarked'] = dataset['Embarked'].fillna(freq_port)	136	136
test_df.drop(['Name'], axis=1)	134	134
"test_df.drop(""PassengerId"", axis=1).copy()"	134	134
submission.to_csv('titanic.csv', index=False)	132	130
titanic.head()	131	86
train_df.Embarked.dropna().mode()[0]	131	131
"dataset['Title'] = dataset['Title'].replace(['Lady', 'Countess','Capt', 'Col', 	'Don', 'Dr', 'Major', 'Rev', 'Sir', 'Jonkheer', 'Dona'], 'Rare')"	129	128
"train_df.drop(""Survived"", axis=1)"	128	128
test_df['Fare'].fillna(test_df['Fare'].dropna().median(), inplace=True)	126	126
dataset['Embarked'] = dataset['Embarked'].fillna('S')	126	125
dataset.loc[ (dataset.Age.isnull()) & (dataset.Sex == i) & (dataset.Pclass == j+1),                    'Age'] = guess_ages[i,j]	124	115
train_df.drop(['FareBand'], axis=1)	123	122
coeff_df.sort_values(by='Correlation', ascending=False)	120	119
train.isnull().sum()	119	100
train_df.describe(include=['O'])	119	116
train_df[['Title', 'Survived']].groupby(['Title'], as_index=False).mean()	117	115
train_df['FareBand'] = pd.qcut(train_df['Fare'], 4)	115	115
"coeff_df[""Correlation""] = pd.Series(logreg.coef_[0])"	115	115
train_df.drop(['Name', 'PassengerId'], axis=1)	115	115
train_df[['FamilySize', 'Survived']].groupby(['FamilySize'], as_index=False).mean().sort_values(by='Survived', ascending=False)	114	114
train_df[['Embarked', 'Survived']].groupby(['Embarked'], as_index=False).mean().sort_values(by='Survived', ascending=False)	114	113
dataset.loc[ dataset['Age'] > 64, 'Age']	114	114
test_df.drop(['Ticket', 'Cabin'], axis=1)	114	114
combined.head()	114	29
train.head(3)	114	67
"train[""Survived""]"	113	108
train_df.drop(['Ticket', 'Cabin'], axis=1)	113	113
train_df.drop(['AgeBand'], axis=1)	113	113
cols[0]	113	76
train_df[['FareBand', 'Survived']].groupby(['FareBand'], as_index=False).mean().sort_values(by='FareBand', ascending=True)	112	112
train_df.shape, test_df.shape	112	110
train_df['AgeBand'] = pd.cut(train_df['Age'], 5)	112	112
test_df.drop(['Parch', 'SibSp', 'FamilySize'], axis=1)	112	112
train_df[['IsAlone', 'Survived']].groupby(['IsAlone'], as_index=False).mean()	112	112
train_df.drop(['Parch', 'SibSp', 'FamilySize'], axis=1)	112	112
train_df[['AgeBand', 'Survived']].groupby(['AgeBand'], as_index=False).mean().sort_values(by='AgeBand', ascending=True)	110	110
train_df[['Pclass', 'Survived']].groupby(['Pclass'], as_index=False).mean().sort_values(by='Survived', ascending=False)	108	108
cols[1]	107	76
train_df.loc[:, ['Age*Class', 'Age', 'Pclass']].head(10)	106	106
dataset['Age'].isnull().sum()	103	103
test_df.head(10)	102	102
dataset['Age'].std()	102	102
dataset['Age'].mean()	101	101
dataset['Title'] = dataset['Name'].apply(get_title)	101	99
df.copy()	101	37
titanic_df.info()	101	93
"train_df[[""SibSp"", ""Survived""]].groupby(['SibSp'], as_index=False).mean().sort_values(by='Survived', ascending=False)"	100	100
"train_df[[""Sex"", ""Survived""]].groupby(['Sex'], as_index=False).mean().sort_values(by='Survived', ascending=False)"	100	100
pd.isnull(Age):	99	83
train_df.tail()	98	98
"train_df[[""Parch"", ""Survived""]].groupby(['Parch'], as_index=False).mean().sort_values(by='Survived', ascending=False)"	97	97
test.shape	96	84
kwargs.get( 'col' , None )	95	49
kwargs.get( 'row' , None )	95	49
dataset['Fare'] = dataset['Fare'].fillna(train['Fare'].median())	94	94
train_df.shape, test_df.shape, combine[0].shape, combine[1].shape	94	94
data.info()	94	50
dataset['Age'][np.isnan(dataset['Age'])] = age_null_random_list	92	92
train.drop(drop_elements, axis = 1)	89	89
dataset['Sex'] = dataset['Sex'].map( {'female': 0, 'male': 1} ).astype(int)	88	88
base_predictions_train.columns.values,	87	44
test_data.head()	87	50
test.drop(drop_elements, axis = 1)	87	87
train.shape[0]	86	86
df_test.head()	86	58
submission.head()	85	78
df.info()	82	50
data_train.head()	82	38
"titanic_df[""Survived""]"	81	81
ticket[0]	81	78
test.isnull().sum()	80	69
shape[0]	76	24
test.shape[0]	76	76
dataset.head()	75	42
titanic_df.join(pclass_dummies_titanic)	75	75
test_df.join(pclass_dummies_test)	75	75
"titanic_df[""Embarked""] = titanic_df[""Embarked""].fillna(""S"")"	74	73
"test_df[""Fare""].fillna(test_df[""Fare""].median(), inplace=True)"	73	73
"dataset.loc[ dataset['Age'] <= 16, 'Age'] 					       = 0"	73	73
titanic.describe()	73	68
"test_df[""Age""].std()"	73	73
test_df.join(embark_dummies_test)	73	73
titanic_df.join(embark_dummies_titanic)	72	72
"dataset.loc[ dataset['Fare'] <= 7.91, 'Fare'] 						        = 0"	71	71
train['CategoricalAge'] = pd.cut(train['Age'], 5)	71	71
"dataset.loc[ dataset['Fare'] > 31, 'Fare'] 							        = 3"	71	71
"test_df.drop(""PassengerId"",axis=1).copy()"	71	70
train.drop(['CategoricalAge', 'CategoricalFare'], axis = 1)	70	70
test_df.join(person_dummies_test)	70	70
"test_df[""Age""].isnull().sum()"	69	69
test_df.drop(['Person'],axis=1,inplace=True)	68	68
np.std(train_scores, axis=1)	68	56
train.head(10)	68	57
