Statement	Count	# unique files
table(full$Sex, full$Title)	61	33
full$Title <- gsub('(.*, )|(\\..*)', '', full$Name)	36	33
full$Title[full$Title == 'Mlle']        <- 'Miss'	33	30
full$Title[full$Title == 'Mme']         <- 'Mrs'	33	30
full$Title[full$Title == 'Ms']          <- 'Miss'	33	30
scale_x_continuous(breaks=c(1:11)) +	27	25
par(mfrow=c(1,2))	26	21
full$Fsize <- full$SibSp + full$Parch + 1	23	22
full$Title[full$Title %in% rare_title]  <- 'Rare Title'	23	21
sum(is.na(full$Age))	22	14
test$Survived <- NA	22	22
data.frame(a,b,c,d)	21	6
full[1:891,]	19	18
DT[, mod := factor(mod)]	18	1
full  <- bind_rows(train, test) # bind training & test data	18	18
full[892:1309,]	18	17
mutate(Rank = paste0('#',dense_rank(desc(Importance))))	17	16
output = list(pred = ynew, fit = mod)	16	1
summary(train)	16	15
full$Child[full$Age < 18] <- 'Child'	15	14
table(full$Child, full$Survived)	15	14
full$Child  <- factor(full$Child)	15	14
mean(ans_rf == train$Survived)	14	12
guides(color = guide_legend(override.aes = list(size = 10, linetype = 1), nrow = 1))	14	1
dat = data.table(X)	13	1
full[1044, ]	13	12
full$Family <- paste(full$Surname, full$Fsize, sep='_')	13	12
filter(PassengerId != 62 & PassengerId != 830)	13	12
full$Child[full$Age >= 18] <- 'Adult'	13	12
ans_rf[i] = as.integer(rf.fitted[[i]]) - 1	12	12
train$Survived	12	10
ans_rf = rep(NA,891)	12	12
table(title)	12	6
table(ans_rf)	12	12
geom_jitter(aes(colour = factor(Survived))) +	12	6
cat(paste('We have <b>', nlevels(factor(full$Surname)), '</b> unique surnames. I would be interested to infer ethnicity based on surname --- another time.'))	12	11
full[c(62, 830), 'Embarked']	12	11
full[full$Pclass == '3' & full$Embarked == 'S', ],	11	10
full[factor_vars] <- lapply(full[factor_vars], function(x) as.factor(x))	11	10
full$Fare[1044] <- median(full[full$Pclass == '3' & full$Embarked == 'S', ]$Fare, na.rm = TRUE)	11	10
full$FsizeD[full$Fsize < 5 & full$Fsize > 1] <- 'small'	11	10
full$FsizeD[full$Fsize == 1] <- 'singleton'	11	10
solution <- data.frame(PassengerID = test$PassengerId, Survived = prediction)	11	10
full$SibSp + full$Parch	11	6
full$FsizeD[full$Fsize > 4] <- 'large'	10	9
dat[, y := factor(Y, levels = 0:1)]	10	1
summary(full)	10	9
"list.files(""../input"")"	10	10
"rocs.cutoffs = lapply(1:length(fits), function(i) data.table(t(coords(rocs[[i]], x = cutoffs, input = ""threshold"", ret = c(""threshold"", ""specificity"", ""sensitivity"", ""accuracy"")))))"	9	1
rocs = lapply(1:length(fits), function(i) roc(actuals ~ fits[[i]]))	9	1
"output = c(output, ""AUC"" = as.numeric(auc(roc(Ytest ~ ynew))))"	9	1
mice_output$Age, freq=F, main='Age: MICE Output',	9	8
table(train$Survived)	9	9
cutoffs = c(-Inf, seq(0.01, 0.99, 0.01), Inf)	9	1
"geom_vline(xintercept = cuts, color = ggcolor(length(cuts)), size = 1, linetype = ""dashed"") +"	9	1
submit <- data.frame(PassengerId = test$PassengerId, Survived = Prediction)	9	5
full_mod[892:1309,]	9	6
DT = data.table(DT[value < Inf])	9	1
ynew = as.numeric(ynew >= cutoff)	9	1
full$Age <- mice_output$Age	9	8
full$Mother <- factor(full$Mother)	8	7
full$Mother <- 'Not Mother'	8	7
full$Age, freq=F, main='Age: Original Data',	8	7
imp = data.table(regressor = rownames(imp), imp / 100)	8	1
vars$optVariables	8	1
dim(test)	8	6
imp[, regressor := factor(regressor, levels = unique(regressor))]	8	1
full$Deck<-factor(sapply(full$Cabin, function(x) strsplit(x, NULL)[[1]][1]))	8	6
print(rf_model)	8	8
table(full$Mother, full$Survived)	8	7
test$Survived <- 0	7	5
full$Title[full$Title %in% royalty]  <- 'Royalty'	7	7
rf <- randomForest(extractFeatures(train), as.factor(train$Survived), ntree=100, importance=TRUE)	7	7
full$Title[full$Title %in% officer]  <- 'Officer'	7	7
fea$Embarked <- as.factor(fea$Embarked)	7	7
royalty <- c('Dona', 'Lady', 'the Countess','Sir', 'Jonkheer')	7	7
guides(fill = guide_legend(override.aes = list(size = 10, linetype = 1), nrow = 1))	7	1
mice_mod <- mice(full[, !names(full) %in% c('PassengerId','Name','Ticket','Cabin','Family','Surname','Survived')], method='rf')	7	6
X[, Survived := NULL]	7	1
full$Embarked[c(62, 830)] <- 'C'	7	6
d <- data.frame(Age = age[1:891], Survived = train$Survived)	7	6
output[, mod := i]	7	1
nrow(train)	7	7
fea$Sex      <- as.factor(fea$Sex)	7	7
full$Mother[full$Sex == 'female' & full$Parch > 0 & full$Age > 18 & full$Title != 'Miss'] <- 'Mother'	7	6
full$Cabin[1:28]	7	6
mod.name = 1:nrow(doe)	7	1
data[,features]	7	7
n = length(age)	7	7
"g <- g + scale_fill_discrete(name=""Survived"", labels=c(""no"", ""yes""))"	7	1
cor.dat = data.table(model.matrix(~., cor.dat)[,-1])	7	1
full$Age	7	6
officer <- c('Capt', 'Col', 'Don', 'Dr', 'Major', 'Rev')	7	7
full$Age, freq=F, main='Before Replacement',	7	6
strsplit(full$Cabin[2], NULL)[[1]]	7	5
d <- data.frame(fare = names(rate),rate)	6	6
full$FsizeD[full$Fsize < 5 & full$Fsize > 1] <- 'Small'	6	6
full$FsizeD  <- factor(full$FsizeD)	6	6
true_accuracy=sum(chose_DEV==TRUE)/length(chose_DEV)          #calculates the accuracy	6	2
submission <- data.frame(PassengerId = test$PassengerId)	6	6
tapply(full[1:891,]$Survived,full[1:891,]$Child, mean)	6	6
test$Sex	6	6
"print(paste0(""Accuracy : "",f1))"	6	1
train$Survived <- as.factor(train$Survived)	6	6
fea$Age[is.na(fea$Age)] <- -1	6	6
solution <- data.frame(Survived = prediction, PassengerID = test$PassengerId)	6	6
options(warn = -1)	6	6
summary(model)	6	6
d <- data.frame(family = family[1:891],Survived = train$Survived)	6	6
full$Sex  <- factor(full$Sex)	6	6
full$Title  <- factor(full$Title)	6	6
tapply(full[1:891,]$Survived,full[1:891,]$Title,mean)	6	6
full$Fare[1044] <- median(full[full$Pclass == '3', ]$Fare, na.rm = TRUE)	6	6
full$Pclass  <- factor(full$Pclass)	6	6
tapply(d$Survived,d$family,mean)	6	6
fea$Fare[is.na(fea$Fare)] <- median(fea$Fare, na.rm=TRUE)	6	6
full  <- bind_rows(train, test) # test + train	6	6
train$Pclass	6	6
tapply(full[1:891,]$Survived,full[1:891,]$Fsize,mean)	6	6
title.age <- aggregate(full$Age,by = list(full$Title), FUN = function(x) median(x, na.rm = T))	6	6
freq$frequency<-freq$n/nrow(train)*100;	6	1
test$Pclass	6	6
tapply(full$Age, full$Title,median, na.rm=TRUE)	6	6
submission$Survived <- predict(rf, extractFeatures(test))	6	6
tapply(full[1:891,]$Survived,full[1:891,]$FsizeD,mean)	6	6
rate <- tapply(d$Survived,cuts,mean)	6	6
full[full$Pclass == '3', ],	6	6
tapply(train$Survived,train$Pclass,mean)	6	6
full$Embarked  <- factor(full$Embarked)	6	6
d <- data.frame(Cabin = cabin[1:891],Survived = train$Survived)	6	6
tapply(full$Age, full$Pclass,median, na.rm=TRUE)	6	6
submit <- data.frame(PassengerId = test$PassengerId, Survived = test$Survived)	6	6
train$Sex	6	6
full1[,-10]	6	6
prop.table(table(train$Survived))	6	6
train$Pclass <- as.factor(train$Pclass)	6	6
dim(train)	6	6
full$Embarked[c(62, 830)] <- 'S'	6	6
full_mod[1:891,]	6	6
tapply(d$Survived,d$title,mean)	6	6
tapply(full[1:891,]$Survived,full[1:891,]$Pclass,mean)	6	6
rate <- tapply(train$Survived,cuts,mean)	6	6
table(cabin)	6	6
full$FsizeD[full$Fsize > 4] <- 'Big'	6	6
d = sum(ans_rf ==0 & f.survived == 0)	6	6
print(confusion_matrix_train)	6	1
full[,-9]	6	6
tapply(train$Survived,train$Sex,mean)	6	6
par(mfrow=c(2,2))	6	3
"fea$Embarked[fea$Embarked==""""] = ""S"""	6	6
"scale_x_continuous(name=""Age"",limits=c(0, 81))"	6	6
"scale_x_continuous(name=""Fare"", limits=c(0, 270), breaks=c(0, 40, 80, 120, 160, 200, 240, 280))"	6	6
tapply(full[1:891,]$Survived,full[1:891,]$Sex,mean)	6	6
tapply(full$Embarked, full$Pclass,median, na.rm=TRUE)	6	6
full$FsizeD[full$Fsize == 1] <- 'Alone'	6	6
"alpha = 1/3, pch = 20, cex = 1, col = c(""cornflowerblue"", ""tomato""),"	6	1
"full[is.na(full$Age), ""Age""] <- apply(full[is.na(full$Age), ] , 1, function(x) title.age[title.age[, 1]==x[""Title""], 2])"	6	6
Ytest = as.numeric(as.character(Ytest))	6	1
d <- data.frame(title = title[1:891],Survived = train$Survived)	6	6
tapply(d$Survived,d$Cabin,mean)	6	6
summary(test)	6	4
d2 <- data.frame(age = names(rate),rate)	6	6
a = sum(ans_rf ==1 & f.survived == 1)	6	6
b = sum(ans_rf ==1 & f.survived == 0)	6	6
X = data.table(train)	6	1
tapply(train$Survived,train$Embarked,mean)	6	6
c = sum(ans_rf ==0 & f.survived == 1)	6	6
summary(mod.dat)	6	1
tapply(full$Fare, full$Pclass,median, na.rm=TRUE)	6	6
mean(ans_svm == train$Survived)	5	5
imp.avg = imp[, .(value = mean(value)), by = regressor]	5	1
d = sum(ans_svm ==0 & f.survived == 0)	5	5
"title[i] = strsplit(lastname,"". "")[[1]][1]"	5	5
c = sum(ans_svm ==0 & f.survived == 1)	5	5
mean(ans_dt == train$Survived)	5	5
b = sum(ans_svm ==1 & f.survived == 0)	5	5
"mod.dat[, c(""Name"", ""Ticket"", ""PassengerId"") := NULL]"	5	1
ans_logit = rep(NA,891)	5	5
full$Fare[1:891]	5	5
